availability,best_player_count,bgg_url,date,duration_min,id,max_players,min_age,min_players,name,price,url,weight
En stock. Recíbelo en 24/48 horas,1,https://boardgamegeek.com/boardgame/270836/imperial-settlers-roll-write,2022-06-25,30,270836,4,10,1,COLONOS DEL IMPERIO: ROLL & WRITE,17.45,https://jugamosotra.com/es/juegos/7471-colonos-del-imperio-roll-write.html,1.77
En stock. Recíbelo en 24/48 horas,2,https://boardgamegeek.com/boardgame/37380/roll-through-ages-bronze-age,2022-06-25,45,37380,4,8,1,Roll through the ages,24.95,https://jugamosotra.com/es/1-4-jugadores/7485-roll-through-the-ages.html,1.78
En stock. Recíbelo en 24/48 horas,3,https://boardgamegeek.com/boardgame/323156/stroganov,2022-06-25,90,323156,4,12,1,Stroganov,49.45,https://jugamosotra.com/es/juegos/7507-stroganov.html,3.15
En stock. Recíbelo en 24/48 horas,3,https://boardgamegeek.com/boardgame/298383/golem,2022-06-25,120,298383,4,14,1,Gólem,58.45,https://jugamosotra.com/es/juegos/7531-golem.html,3.93
Agotado. Consultar disponibilidad,2,https://boardgamegeek.com/boardgame/329591/ultimate-railroads,2022-06-25,120,329591,4,12,1,Ultimate Railroads,80.95,https://jugamosotra.com/es/juegos/7533-ultimate-railroads.html,3.38
En stock. Recíbelo en 24/48 horas,4,https://boardgamegeek.com/boardgame/285984/last-bastion,2022-06-25,45,285984,4,14,1,Last Bastion,37.45,https://jugamosotra.com/es/juegos/7534-last-bastion.html,2.58
En stock. Recíbelo en 24/48 horas,5,https://boardgamegeek.com/boardgame/241533/mansions-madness-second-edition-sanctum-twilight-e,2022-06-25,180,241533,5,14,1,Las Mansiones de la Locura: El Santuario del Crepúsculo,32.95,https://jugamosotra.com/es/juegos/7543-las-mansiones-de-la-locura-el-santuario-del-crepusculo.html,2.5
En stock. Recíbelo en 24/48 horas,8,https://boardgamegeek.com/boardgame/202982/scrawl,2022-06-25,30,202982,8,17,4,Scrawl,25.15,https://jugamosotra.com/es/juegos/7599-scrawl.html,1
En stock. Recíbelo en 24/48 horas,2,https://boardgamegeek.com/boardgame/238799/messina-1347,2022-06-25,120,238799,4,12,1,Messina 1347,32.95,https://jugamosotra.com/es/juegos/7600-messina-1347.html,3.52
En stock. Recibelo en 24/48 horas,4,https://boardgamegeek.com/boardgame/327971/hippocrates,2022-06-25,120,327971,4,12,1,Hipócrates,49.5,https://jugamosotra.com/es/juegos/7602-hipocrates.html,2.85
Agotado. Consultar disponibilidad,3,https://boardgamegeek.com/boardgame/349998/tapestry-arts-architecture,2022-06-25,120,349998,5,14,1,Tapestry: Artes y Arquitectura,40.45,https://jugamosotra.com/es/juegos/7620-tapestry-artes-y-arquitectura.html,3
En stock. Recíbelo en 24/48 horas,1,https://boardgamegeek.com/boardgame/341315/ole-guacamole,2022-06-25,0,341315,8,10,2,Ole Guacamole,11.95,https://jugamosotra.com/es/juegos/7618-ole-guacamole.html,1
En stock. Recíbelo en 24/48 horas,3,https://boardgamegeek.com/boardgame/123260/suburbia,2022-06-25,90,123260,4,8,1,Suburbia,49.45,https://jugamosotra.com/es/juegos/7621-suburbia.html,2.77
En stock. Recíbelo en 24/48 horas,2,https://boardgamegeek.com/boardgame/339484/savannah-park,2022-06-25,40,339484,4,8,1,Sabana Park,31.45,https://jugamosotra.com/es/inicio/7162-sabana-park.html,1.72
En stock. Recíbelo en 24/48 horas,4,https://boardgamegeek.com/boardgame/232666/robin-hood-and-merry-men,2022-06-25,90,232666,5,13,1,Robin Hood and the Merry Men Kickstarter,51.94,https://jugamosotra.com/es/juegos/7202-robin-hood-and-the-merry-men-kickstarter.html,3.69
En stock. Recíbelo en 24/48 horas,4,https://boardgamegeek.com/boardgame/316786/tabannusi-builders-ur,2022-06-25,120,316786,4,14,1,Tabannusi,49.45,https://jugamosotra.com/es/juegos/7221-tabannusi.html,3.88
En stock. Recíbelo en 24/48 horas,1,https://boardgamegeek.com/boardgame/323882/dark-story,2022-06-25,90,323882,6,12,1,Expediente Dark,13.45,https://jugamosotra.com/es/juegos/7225-expediente-dark.html,3
En stock. Recíbelo en 24/48 horas,3,https://boardgamegeek.com/boardgame/221194/dinosaur-island,2022-06-25,120,221194,4,8,1,Dinosaur Island,69.95,https://jugamosotra.com/es/segunda-mano/7231-dinosaur-island.html,3.03
En stock. Recíbelo en 24/48 horas,3,https://boardgamegeek.com/boardgameexpansion/341943/tekhenu-time-seth,2022-06-25,120,341943,4,14,1,TEKHENU: LA ERA DE SETH,26.95,https://jugamosotra.com/es/juegos/7250-tekhenu-la-era-de-seth.html,4
